【0030】Completed. 成功backup683頁，有6頁遺失.,Backed up,Lost,
"[2306] 網站downjor但係仍然有方法backup,睇下面step 1",684,7,691
"STEP 1 [UPDATED 2306]: 用 ARCHIVE.ORG BACKUP
(用其他網站例如 archive.is, archive.today 也可，但最好 archive.org)

1. 先上 Google 搜尋 URL 
2. 之後按“頁庫” （按一下睇screen cap)
3. copy link 落去 archive.org，按 save 
(URL will start with ""https://webcache.googleusercontent.com"")
4. copy archive.org link 去 COLUMN C
","Step2: 如果已經 backup , mark Yes)。失敗就No",Step3: 如已經upload上網，可以貼埋link到呢到   <<<要hyper link定點? (Archive results link),98.99%
,,,
URL,HAS BACKUP?,,
https://www.thestandnews.com/art/%E6%BC%94%E8%80%8C%E5%84%AA%E5%89%87%E5%B0%8E-%E6%9C%B1%E6%A0%A2%E8%AC%99%E7%9A%84%E8%8D%92%E8%AA%95%E4%B8%96%E7%95%8C,yes,https://web.archive.org/web/20210710002157/https://www.thestandnews.com/art/演而優則導-朱栢謙的荒誕世界,
https://www.thestandnews.com/politics/%E5%9C%9F%E4%BE%9B%E7%B5%84%E4%BA%A4%E6%9C%80%E7%B5%82%E5%A0%B1%E5%91%8A-%E6%94%AF%E6%8C%81%E5%A1%AB%E6%B5%B7-%E5%B1%80%E9%83%A8%E7%99%BC%E5%B1%95%E9%AB%98%E7%90%83%E5%A0%B4-%E6%9C%AA%E5%B0%B1%E6%98%8E%E6%97%A5%E5%A4%A7%E5%B6%BC%E8%A1%A8%E6%85%8B,yes,https://web.archive.org/web/20211229111735/https://www.thestandnews.com/politics/土供組交最終報告-支持填海-局部發展高球場-未就明日大嶼表態,
https://www.thestandnews.com/society/%E6%B8%AF%E7%8F%A0%E6%BE%B3%E6%A9%8B-%E9%81%8A%E5%AE%A2%E6%A9%8B%E9%82%8A%E6%89%93%E5%8D%A1%E9%96%8B%E9%A4%90-%E5%9E%83%E5%9C%BE%E4%B8%9F%E5%A4%A7%E6%B5%B7-%E8%A2%AB%E7%BD%B0-200-%E4%BA%BA%E5%B9%A3,yes,https://web.archive.org/web/20211229111925/https://www.thestandnews.com/society/港珠澳橋-遊客橋邊打卡開餐-垃圾丟大海-被罰-200-人幣,
https://www.thestandnews.com/politics/%E9%A6%AE%E7%85%92%E5%85%89%E6%89%B9-%E5%A4%A9%E4%B8%8B%E7%82%BA%E5%85%AC-%E7%9C%BE%E7%B1%8C-%E4%BA%A4%E4%BD%95%E4%BF%8A%E4%BB%81%E4%BD%9C%E5%BE%8B%E5%B8%AB%E8%B2%BB-%E6%9E%97%E5%8D%93%E5%BB%B7-%E5%BE%9E%E7%84%A1%E9%9A%B1%E7%9E%9E%E4%BD%95%E4%BF%8A%E4%BB%81%E8%A7%92%E8%89%B2,yes,https://web.archive.org/web/20211229112025/https://www.thestandnews.com/politics/馮煒光批-天下為公-眾籌-交何俊仁作律師費-林卓廷-從無隱瞞何俊仁角色,
https://www.thestandnews.com/society/%E5%B1%B1%E7%AB%B9%E4%BE%86%E8%A5%B2-%E5%B8%82%E6%B0%91%E8%B6%85%E5%B8%82%E8%B2%B7%E5%84%B2%E7%B3%A7-%E6%9D%8F%E8%8A%B1%E9%82%A8%E5%8A%A0%E8%A3%9D%E6%8A%BD%E6%B0%B4%E6%A9%9F,yes,https://web.archive.org/web/20211229112138/https://www.thestandnews.com/society/山竹來襲-市民超市買儲糧-杏花邨加裝抽水機,
https://www.thestandnews.com/international/%E5%82%B3%E5%BA%95%E6%9D%BF%E8%A2%AB%E8%A7%A3%E6%94%BE%E8%BB%8D%E6%A4%8D%E5%85%A5%E6%83%A1%E6%84%8F%E6%99%B6%E7%89%87-super-micro-%E9%9B%96%E7%84%A1%E8%AD%89%E6%93%9A%E4%BD%86%E5%B0%87%E6%AA%A2%E6%9F%A5,yes,https://web.archive.org/web/20211229112226/https://www.thestandnews.com/international/傳底板被解放軍植入惡意晶片-super-micro-雖無證據但將檢查,
https://www.thestandnews.com/society/%E6%9C%B1%E7%B6%93%E7%B7%AF%E7%94%B3%E8%AB%8B%E4%B8%8A%E8%A8%B4%E8%87%B3%E7%B5%82%E9%99%A2,yes,https://web.archive.org/web/20210708024845/https://www.thestandnews.com/society/朱經緯申請上訴至終院,
https://www.thestandnews.com/cosmos/%E6%AD%BB%E6%B5%B7%E7%99%BC%E7%8F%BE%E5%A4%A7%E9%87%8F%E9%80%BE-2-5-%E5%84%84%E5%B9%B4%E5%8F%A4%E6%A4%8D%E7%89%A9%E5%8C%96%E7%9F%B3-%E6%9B%B4%E5%A4%9A%E8%AD%89%E6%93%9A%E8%AD%89%E7%86%B1%E5%B8%B6%E5%9C%B0%E5%8D%80%E7%82%BA-%E7%89%A9%E7%A8%AE%E6%BC%94%E5%8C%96%E6%90%96%E7%B1%83,yes,https://web.archive.org/web/20211229112436/https://www.thestandnews.com/cosmos/死海發現大量逾-2-5-億年古植物化石-更多證據證熱帶地區為-物種演化搖籃,
https://www.thestandnews.com/china/%E5%8A%A9%E6%9D%91%E6%B0%91%E5%8F%8D%E5%A1%AB%E6%B5%B7-%E5%BB%A3%E6%9D%B1%E7%B6%AD%E6%AC%8A%E5%BE%8B%E5%B8%AB%E9%99%B3%E6%AD%A6%E6%AC%8A-%E5%B0%8B%E9%87%81%E6%BB%8B%E4%BA%8B%E5%88%A4%E7%9B%A35%E5%B9%B4,yes,https://web.archive.org/web/20211229112318/https://www.thestandnews.com/china/助村民反填海-廣東維權律師陳武權-尋釁滋事判監5年,
https://www.thestandnews.com/international/%E5%B0%88%E8%A8%AA-%E7%83%8F%E5%85%8B%E8%98%AD%E6%8A%97%E7%88%AD%E5%B0%91%E5%A5%B3-yulia-%E9%9D%A9%E5%91%BD%E6%88%90%E5%8A%9F%E4%B9%9F%E4%B8%8D%E4%BB%A3%E8%A1%A8%E4%B8%80%E5%8B%9E%E6%B0%B8%E9%80%B8,Yes,https://archive.ph/mpIiy,
https://www.thestandnews.com/politics/%E6%A2%81%E5%90%9B%E5%BD%A5-%E5%B7%B2%E5%90%91%E4%B8%AD%E8%81%AF%E8%BE%A6%E6%8F%90%E5%87%BA-%E5%9C%8B%E6%85%B6%E9%82%80%E5%85%A8%E9%AB%94%E7%AB%8B%E6%B3%95%E6%9C%83%E8%AD%B0%E5%93%A1%E8%A8%AA%E4%BA%AC%E9%96%B1%E5%85%B5,Yes,https://archive.ph/ylXLg,
